uni,n_participants,last_update_day
Darmstadt,65,2026-02-06
Münster,30,2026-02-11
Twente,28,2026-02-19
IU,187,2026-02-19
IPN,0,
Bamberg,17,2026-01-26
Leipzig,72,2026-02-14
Göttingen,10,2026-02-15
Dresden,28,2026-02-07
Hildesheim,1,2026-02-11
FU,29,2026-02-17
Pavia,0,
HU,89,2026-02-19
Tübingen,70,2026-02-18
Tübingen Not Sona,28,2026-02-18
Aachen,51,2026-01-18
Lüneburg,0,
Marburg,65,2026-01-18
Ipu Sona,11,2026-02-19
Ipu Prolific,0,
Erfurt,25,2026-02-18
Potsdam,0,
Potsdam Sona,0,
Mannheim Kognitive Psychologie,45,2026-02-19
Wuppertal,41,2026-02-17
Frankfurt Sona,15,2026-02-17
Frankfurt Prolific,0,
Köln,25,2026-02-18
